institution,date,file_path,gross_loans,credit_impairments,npl_ratio
AFRICAN BANK LIMITED (N),2023-07-01,test_data/BA900_2023-07-01_zipcsv/160571.csv,5980859.0,12147774.0,203.11085748719373
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-07-01,test_data/BA900_2023-07-01_zipcsv/337889.csv,628126.0,705487.0,112.3161594966615
CAPITEC BANK,2023-07-01,test_data/BA900_2023-07-01_zipcsv/333107.csv,8471638.0,21352290.0,252.04440982959846
CITIBANK N.A,2023-07-01,test_data/BA900_2023-07-01_zipcsv/165565.csv,1554355.5,138561.74,8.914417583364937
DISCOVERY BANK LIMITED,2023-07-01,test_data/BA900_2023-07-01_zipcsv/165271.csv,5174731.0,476029.0,9.19910619508531
FIRSTRAND BANK LIMITED,2023-07-01,test_data/BA900_2023-07-01_zipcsv/416053.csv,57796425.1188,35599413.6698,61.594490656862845
GBS MUTUAL BANK,2023-07-01,test_data/BA900_2023-07-01_zipcsv/418072.csv,9.0,12892.0,143244.44444444444
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-07-01,test_data/BA900_2023-07-01_zipcsv/535761.csv,13366.0,74150.0,554.7658237318569
INVESTEC BANK LTD,2023-07-01,test_data/BA900_2023-07-01_zipcsv/25054.csv,2084854.0,3431113.0,164.57329865784368
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-07-01,test_data/BA900_2023-07-01_zipcsv/331899.csv,43.0,25708.0,59786.04651162791
NEDBANK LTD,2023-07-01,test_data/BA900_2023-07-01_zipcsv/416088.csv,18470817.0,28367786.0,153.58165261449994
STANDARD CHARTERED BANK,2023-07-01,test_data/BA900_2023-07-01_zipcsv/535788.csv,18490.0,864404.0,4674.981070849108
THE STANDARD BANK OF S A LTD,2023-07-01,test_data/BA900_2023-07-01_zipcsv/416061.csv,42536193.0,49176899.0,115.61189549802917
ABSA BANK LTD,2023-08-01,test_data/BA900_2023-08-01_zipcsv/34118.csv,43429362.0,37604251.0,86.58715962716653
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-08-01,test_data/BA900_2023-08-01_zipcsv/416134.csv,436256.0,59548.0,13.649783613291277
